id,position,trackname,artist,streams,url,date,region
688571,34,Location,Khalid,1119,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-04-04,ee
485240,42,All We Know,The Chainsmokers,65113,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-04-02,ph
78344,145,Work from Home,Fifth Harmony,23421,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-02,fr
697054,37,Santa Baby,Eartha Kitt,1450,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,2017-12-02,ee
337813,14,Party On The West Coast (feat. Snoop Dogg),Matoma,73059,https://open.spotify.com/track/45OfR7ugJMgbFDuNOVpIq3,2017-07-02,no
605675,77,I Like Me Better,Lauv,5246,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-12-01,tw
510338,140,Beautiful Soul,Jesse McCartney,22060,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,2017-09-02,ph
542617,19,",AcA? - Ending Theme Song of TVBS Series ""Life List",Eric Chou,10600,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS,2017-02-02,tw
93745,146,Lush Life,Zara Larsson,26126,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,2017-04-08,fr
525362,164,More Than Words,Extreme,21127,https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH,2017-11-01,ph
327340,141,Be Mine,Ofenbach,12094,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w,2017-06-05,no
346306,107,Go Flex,Post Malone,18047,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ,2017-09-08,no
121902,103,Sunset Lover,Petit Biscuit,30372,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-08-03,fr
32998,199,This Is What You Came For,Calvin Harris,1670,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-06-01,ec
360998,199,Awful Things,Lil Peep,9911,https://open.spotify.com/track/0bcEHhsuLRDm712CQHomdm,2017-11-02,no
870906,116,Reggaetn Lento (Remix),CNCO,1009,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE,2017-09-03,sv
237862,63,Bad and Boujee (feat. Lil Uzi Vert),Migos,16628,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-03-08,fi
46741,142,Would You Ever,Skrillex,2258,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r,2017-08-05,ec
455547,44,First Time,Kygo,1224,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2017-07-02,lt
722663,42,366.Gn,Sagopa Kajmer,14090,https://open.spotify.com/track/1EuFr1JA70TaEzlaSM4ulc,2017-05-07,tr
68304,105,Vacaciones,Wisin,2803,https://open.spotify.com/track/1rXojdsUqqxGj2WCmJGWHP,2017-12-11,ec
580298,100,All Night,Girls' Generation,3808,https://open.spotify.com/track/1UwERmn5UogyCz6qo21BmA,2017-08-12,tw
546257,59,"EnaEnAEouEnA - From '52Hz, I Love You' Soundtrack / Theme Song",AEiA,6390,https://open.spotify.com/track/1RikH0jSgDFYXpNHGflMco,2017-02-02,tw
137154,155,Shine on my Way,Diva Faune,24832,https://open.spotify.com/track/1LCdHocTe3wvSEPSISoEaQ,2017-11-01,fr
479815,17,Touch,Little Mix,96248,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-03-01,ph
139245,46,Django,Dadju,77111,https://open.spotify.com/track/51PPDB9v8QOMkiUe06eYfc,2017-11-05,fr
610504,106,Cake By The Ocean,DNCE,4889,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,2017-01-01,nz
401574,175,Vietato morire,Ermal Meta,13228,https://open.spotify.com/track/681fNvwhF5pF9sYiiOycPp,2017-06-05,it
893086,172,6 AM (Remix),Enzo Ortiz,2194,https://open.spotify.com/track/3WHqVVRvPDWz033iPs04md,2017-02-11,cr
546207,9,Castle on the Hill,Ed Sheeran,15127,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-02-02,tw
145609,10,Bling Bling,Kaaris,97760,https://open.spotify.com/track/4s7OqcUEyLJ1RkbzBopRGt,2017-12-02,fr
869079,10,Ahora Dice,Chris Jeday,4543,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2017-08-03,sv
1044724,10,Vacaciones,Wisin,86922,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-02-02,cl
28007,8,Una Lady Como T,Manuel Turizo,14464,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2017-02-03,ec
54008,9,Una Lady Como T,Manuel Turizo,14966,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2017-02-04,ec
306207,8,Alone,Alan Walker,92447,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-02-05,no
442607,8,Perfect Duet (Ed Sheeran & Beyonc),Ed Sheeran,90487,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,2017-02-06,it
317408,9,Scared to Be Lonely,Martin Garrix,71259,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-02-07,no
301207,8,Make Me (Cry),Noah Cyrus,81932,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2017-02-08,no
119208,9,Mobali,Siboy,81790,https://open.spotify.com/track/6xcXAVbDuVT1pCsa2rmDHY,2017-02-09,fr
